2024-05-17 23:25:14,412 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Configure stats pid to 1478319
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Loading settings from /nlsasfs/home/ai4bharat/praveens/.config/wandb/settings
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Loading settings from /nlsasfs/home/ai4bharat/praveens/srija/assignment_1/wandb/settings
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/nlsasfs/home/ai4bharat/praveens/srija/assignment_1/train.py', 'program': '/nlsasfs/home/ai4bharat/praveens/srija/assignment_1/train.py'}
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_init.py:_log_setup():520] Logging user logs to /nlsasfs/home/ai4bharat/praveens/srija/assignment_1/wandb/run-20240517_232514-yk9iay3z/logs/debug.log
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_init.py:_log_setup():521] Logging internal logs to /nlsasfs/home/ai4bharat/praveens/srija/assignment_1/wandb/run-20240517_232514-yk9iay3z/logs/debug-internal.log
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_init.py:init():560] calling init triggers
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'hidden_activations': 'tanh', 'init_strategy': 'he', 'loss_fn': 'cross_entropy', 'optimizer': 'nadam', 'learning_rate': 0.001, 'n_epochs': 10, 'batch_size': 16, 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.995, 'regularizer': 'l1', 'hidden_sizes': [128, 64, 32], 'epsilon': 1e-08}
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_init.py:init():610] starting backend
2024-05-17 23:25:14,414 INFO    MainThread:1478319 [wandb_init.py:init():614] setting up manager
2024-05-17 23:25:14,419 INFO    MainThread:1478319 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-17 23:25:14,420 INFO    MainThread:1478319 [wandb_init.py:init():622] backend started and connected
2024-05-17 23:25:14,427 INFO    MainThread:1478319 [wandb_init.py:init():711] updated telemetry
2024-05-17 23:25:14,428 INFO    MainThread:1478319 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-17 23:25:15,081 INFO    MainThread:1478319 [wandb_run.py:_on_init():2396] communicating current version
2024-05-17 23:25:15,144 INFO    MainThread:1478319 [wandb_run.py:_on_init():2405] got version response 
2024-05-17 23:25:15,144 INFO    MainThread:1478319 [wandb_init.py:init():795] starting run threads in backend
2024-05-17 23:25:21,555 INFO    MainThread:1478319 [wandb_run.py:_console_start():2374] atexit reg
2024-05-17 23:25:21,555 INFO    MainThread:1478319 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-17 23:25:21,555 INFO    MainThread:1478319 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-17 23:25:21,555 INFO    MainThread:1478319 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-17 23:25:21,557 INFO    MainThread:1478319 [wandb_init.py:init():838] run started, returning control to user process
2024-05-17 23:25:28,665 WARNING MsgRouterThr:1478319 [router.py:message_loop():77] message_loop has been closed
